"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Antigua and Barbuda","ATG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","66144443.2762914","74855554.2335588","92240739.1117105","110066664.722819","124462954.838942","137951855.34146","153270373.589444","173511108.046794","201862965.32386","245896291.953611","286474069.01476","338696290.314704","373403703.035082","391570363.454988","410388899.418937","423762955.479039","456537023.048377","500088880.057001","494185188.309412","541074082.296139","579851829.759447","620037014.234937","651851840.339733","787693391.348092","778311556.513781","806505874.275111","849234753.890862","905113766.533633","1001970945.08233","1141418339.6196","1295824296.3001","1354616665.25926","1259082071.48148","1161528615.92593","1094862187.77778","1134159259.25926","",
"Australia","AUS","GDP (current US$)","NY.GDP.MKTP.CD","19689774890.8052","19923843655.5045","21542165976.0332","23803337439.8029","25978273042.8939","27305409340.3517","30440138873.3341","32709149960.8019","36681599283.2344","41330496136.1855","45212229812.969","52035046728.972","63818065342.729","88959469417.8335","97278437798.7164","105025841421.908","110320027529.25","118458154748.477","134858570941.724","149957660167.131","176884941367.7","194047224980.691","177255966307.908","193593551892.773","180551507248.6","182504896474.538","189718766543.145","236924476135.041","300881035746.275","311393612928.049","325581979436.465","325389525494.117","311965289488.477","322830854375.649","368222453222.453","401579666160.85","435828768195.336","399523163535.237","388867652588.044","415208189411.543","378642266824.085","394442235244.872","466663366336.634","613161189358.372","693662607126.748","747463312368.973","853854910889.534","1055506156996.89","926710311519.414","1141793593834.25","1386889147177.31","1532407884934.19","",
"Austria","AUT","GDP (current US$)","NY.GDP.MKTP.CD","7311749633.36229","7756110210.11966","8374175257.73075","9169983885.71185","9994070615.85997","10887682273.1014","11579431668.9165","12440625312.8685","13582798556.2404","15215058932.2498","17675002527.9448","21832965361.7973","29212217262.2161","34827754651.953","39647626536.7906","42518592467.5922","51016162684.2061","61414715246.8492","73177642820.3809","81215814720.2723","70304401244.168","70542983786.3999","71380023747.5103","67286843408.2938","68673874035.6478","98018638125.2817","122892699172.834","131969428284.855","131738237129.485","164753092097.301","172008564525.633","193073835462.059","188423702827.399","201444060956.511","238561783813.293","234676456979.465","207826098771","213329585371.276","212301777114.852","192070749953.934","191678678299.776","207537336721.25","253945776523.702","291430382497.377","304983601949.958","324954402044.306","375041784029.848","414171069689.091","383733743330.143","375217439473.684","415611711111.111","394707863203.908","",
"Azerbaijan","AZE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8858006035.91566","8792365810.5094","4991350457.5425","3973027396.65195","3313739673.54738","3052467522.36104","3176749593.11788","3962710163.11167","4446396217.63265","4581222442.45783","5272617196.04517","5707618246.56848","6236024951.20423","7275766111.24309","8680511918.49357","13245421880.834","20982270733.2484","33049380917.6985","48852482960.0779","44291490420.5026","52905998878.7143","65952763948.839","66604589419.4634","",
"Burundi","BDI","GDP (current US$)","NY.GDP.MKTP.CD","202999992.32","213500006.4","232749998.08","260750008.32","158994962.962963","165444571.428571","178297142.857143","183200000","190205714.285714","242732571.428571","252842285.714286","246804571.428571","304339839.552146","345263492.063492","420986666.666667","448412753.623188","547535555.555556","610225555.555556","782496666.666667","919726666.666667","969046666.666667","1013222222.22222","1082926304.46477","987143931.166987","1149979285.77347","1201725497.06578","1131466494.01101","1082403219.48787","1113924130.41149","1132101252.51817","1167398478.3459","1083037670.62404","938632612.059308","925030590.280334","1000428393.94934","869033856.317093","972896267.915425","893770806.077641","808077223.365746","870486065.858218","876794723.02267","825394484.361648","784654423.603171","915257323.428255","1117254387.10035","1273180655.19805","1356078300.12373","1611634286.34081","1739781535.88738","2026864414.46871","2355652063.58605","2472384864.13151","",
"Belgium","BEL","GDP (current US$)","NY.GDP.MKTP.CD","12400145221.595","13264015675.3193","14260017387.0492","15960106680.6732","17371457607.9374","18651883472.4808","19992040788.4593","21376353113.475","23710735894.7022","26381124884.4774","29458668479.0753","36756500047.1024","47162657848.0043","55351036496.7304","64878745420.8373","70248275973.4583","81831567541.019","100014140030.687","114899650370.494","125285531605.179","103455231205.28","90974923323.0028","86123021067.9503","82334988808.1695","85218196227.3775","118557903304.622","147575956006.656","160323578328.224","162222137362.518","202832423615.222","207948632758.216","231923859989.706","221986453439.378","241903369306.508","284519704433.498","275796742671.01","249766576454.668","255599022004.89","254503515874.707","232672747374.24","232485906040.268","252795031055.901","311689616252.822","361683211959.795","377350395463.364","399965627160.063","459618853659.405","507379060314.205","473254584680.271","468078947368.421","512859722222.222","483261763949.601","",
"Benin","BEN","GDP (current US$)","NY.GDP.MKTP.CD","235668220.77437","236434954.308407","253927697.409774","269819005.921698","289908680.311257","302925235.583459","306221953.283423","326323105.762862","330748244.046535","333627713.317319","335073028.025766","410331856.333196","504376073.939638","554654861.454051","676870139.207855","698408261.007754","750049780.082509","928843468.48644","1186231018.52654","1405251843.93367","1291120190.56764","1267778671.41078","1095348199.41031","1051134009.37298","1045712789.84681","1336102027.03112","1562412225.68031","1620246084.88477","1502294413.88616","1959965330.51096","1986437797.72499","1695315185.83344","2274558078.83804","1598075944.82911","2169627138.29988","2361116448.13852","2268301645.02353","2455092688.11402","2488892429.47577","2359122302.67027","2499269391.11713","2807657386.40991","3557229701.87707","4050869967.79893","4358015992.89839","4705087452.19196","5506275948.35799","6633561835.2379","6585134688.09549","6558416322.12","7294900430.89438","7557286829.00186","",
"Burkina Faso","BFA","GDP (current US$)","NY.GDP.MKTP.CD","350247234.99743","379567099.620738","394040667.595114","410321645.028445","422916789.34088","433889767.085803","450753923.930489","460442689.71532","478298644.747585","458404268.558262","482411179.628881","578595521.118458","674773569.554893","751133431.612732","939972701.817126","976547187.063795","1131224879.98896","1475583643.33537","1748480618.19811","1928719884.32648","1775842336.50916","1754450097.81998","1600278605.2562","1459880132.91342","1552493197.36986","2036303360.21989","2369834946.42015","2616040480.59295","2615587730.03535","3101300779.23055","3135045586.3077","2240264677.01086","2332018010.60489","1895290638.2992","2379517975.81514","2586550594.09477","2447669100.4972","2804902369.27178","3014665572.20835","2610959139.40963","2812845486.44196","3205592273.18693","4205691121.78985","4838551014.48553","5462709054.77989","5844669738.11104","6755823932.79857","8350710389.31231","8348156389.07694","9209288383.08711","10395757480.2301","10441012681.1037","",
"Bangladesh","BGD","GDP (current US$)","NY.GDP.MKTP.CD","4817580181.8999","5081413344.74945","5319458348.62372","5386054612.64409","5906636553.5409","6439687605.76616","7253575403.21538","7483685482.82769","8471006091.86674","8992721806.56287","8751842837.09068","6288245865.8286","8086725735.63934","12512460518.1979","19448348067.8251","10117113334.0775","9651149302.33962","13281767144.6866","15565480319.1349","18138049095.6072","19714565483.4761","18050898203.5928","17184680134.6801","19591480000","21613230769.2308","21089700000","23474548387.0968","25638749373.0508","27744487300.1473","30495081541.7285","30957445429.0092","31293826879.8937","32063807158.3373","33853081792.2018","37939752959.8665","40666015641.0564","42318799293.8429","44091754148.1822","45694072379.3677","47124925462.1348","46987842846.553","47571130071.3913","51913661485.3195","56560744012.2303","60277560975.6098","61901116736.1525","68415421372.7194","79554350677.7438","89359767441.8605","100357022443.833","111879121730.817","116355057337.05","",
"Bulgaria","BGR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","20039628407.8472","20056237268.7119","19804095242.9809","16959385327.1028","17411160327.8573","17562123539.8268","20261212353.5477","28429026655.9697","23002459531.8911","21746813404.0299","20726300434.7032","10943548723.7608","10371900499.4574","10831999516.8061","9704877673.48824","13069094969.2947","8890316777.69345","10053469055.2778","13060786998.114","13228374466.2635","12903546765.0859","13868600709.9324","15979194511.3144","20668176833.8431","25283228366.4529","28895083539.8005","33209188738.5365","42113656147.2255","51824892678.1841","48568714011.5163","47727325908.633","53544649409.8962","50972109856.598","",
"Bahrain","BHR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","3072698345.80565","3467819352.78404","3645744805.68489","3735106510.87238","3905585155.0076","3651861912.27732","3052393636.4318","3392021222.52906","3702393658.68843","3863564047.18578","4229787378.87456","4616223477.21289","4751063992.46826","5200266050.40256","5567553552.34054","5849468115.18506","6101861655.74215","6349202600.38155","6183941092.31601","6621186419.41611","7970690894.22308","7928934209.57661","8491183200.55491","9747599583.42221","11235671061.4371","13460198289.6975","15854942950.6104","18473097688.7683","21902892583.9637","19318822540.6653","25713571420.9726","29044457919.7651","","",
"Bahamas, The","BHS","GDP (current US$)","NY.GDP.MKTP.CD","190096176.551435","212252822.19384","237742768.508112","266664053.749305","300392162.479928","340000006.35783","390196085.727844","444901969.103758","528137296.150413","538423199.465042","573400000","590899968","670899968","632400000","596200000","642099968","713000000","832400000","1139800064","1335299968","1426499968","1578300032","1732800000","2041100032","2320699904","2472499968","2713999872","2817900032","3062000000","3166000000","3111160000","3109000000","3092000000","3259000000","3429000000","3609000000","4961119000","5353524000","6019972000","6327552000","6516651000","6957996000","6949317000","7094413000","7706222000","7965588000","8318996000","8246650000","7820420000","7888087000","7872584000","8149004000","",
"Bosnia and Herzegovina","BIH","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1255802465.43943","1866572992.65202","2786045391.91109","3671816537.75935","4116699576.17583","4685729742.91939","5505984455.95855","5748990554.79945","6651226179.01829","8370020196.19158","10022840634.9206","10948051122.2738","12400102623.3083","15280615815.2554","18543289394.8472","17082889409.7592","16775469777.6516","18252421794.7156","17465958605.6645","",
"Belarus","BLR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17369598958.1159","17813389815.004","17022180272.211","16280372553.0518","14931599418.4226","13972637603.2102","14756861538.4615","14128412417.193","15222014828.3039","12138485328.6267","12736856485.1068","12354820143.8849","14594925392.9691","17825436034.5366","23141587717.7633","30210091836.8294","36961918858.7385","45275711995.825","60763483146.0674","49271267252.1957","55220932613.958","64271575245.4325","63267017440.3121","",
"Belize","BLZ","GDP (current US$)","NY.GDP.MKTP.CD","29965035.3920036","31857562.9999186","33750090.6078336","36194610.8013962","40069931.5396865","44405596.034382","47379308.7867437","44910180.7948118","47305390.4372017","53233534.3021169","59207317.5896141","66062499.015592","78343558.5113933","103216371.966438","118066302.075032","96905828.767564","117650000","136300000","151800000","194750000","192900000","179250000","189000000","210900000","209150000","227850000","276550016","314900000","363150016","413049984","444720726.464896","518143678.48592","559759653.31007","580760211.263175","620031771.857715","641271333.36313","654198121.10579","688872472.724825","732607993.768985","831750000","871840755.396765","932676403.181055","990350000","1057850000","1114200000","1217450000","1290550000","1369600000","1338500000","1397900000","1493100000","","",
"Bermuda","BMU","GDP (current US$)","NY.GDP.MKTP.CD","89249986.7007156","94149985.9705588","96366652.3069165","107566650.637987","114339048.962736","134173373.782802","155102984.621576","150000000","164900000","186300000","211100000","235400000","269500000","312600000","345000000","386300000","447000000","475800000","517200000","613299968","739100032","785500032","889400000","985699968","1039500032","1173500032","1296499968","1415100032","1501500032","1592400000","1634899968","1679900032","1820359936","1867160064","2030749952","2695390000","2932827000","3130748000","3324433000","3480219000","3680483000","3937228000","4186525000","4484703000","4868136000","5414299000","5895048000","6109928000","5806378000","5744414000","5550771000","5473536000","",
"Bolivia","BOL","GDP (current US$)","NY.GDP.MKTP.CD","612518907.152565","669722540.430041","721142960.441744","812543073.809663","908874535.938603","994044552.923342","1084059817.95356","908874535.938603","964615702.561641","1017171717.17172","1095454545.45455","1257615644.97932","1263018490.75462","2100249875.06247","2404697651.17441","2732083958.02099","3227436281.85907","3758220889.55522","4421343606.18135","4537487842.81733","5891606677.69193","5594118400.64131","5422656261.8957","6169481549.38442","5377277406.71638","3959379487.6064","4347956298.51327","4597615562.66594","4715978868.21613","4867582620.20708","5343259388.76337","5643864407.82255","5734703452.22129","5981218996.99601","6715164550.84431","7396952081.04662","7925733785.53783","8497499333.04659","8285061618.15839","8397858184.79382","8141513292.12402","7905485216.17852","8082396525.99433","8773451738.91129","9549196255.88892","11451845341.2441","13120107687.9377","16674276951.8438","17339992165.2422","19649724655.5819","23948670617.7235","27035110130.246","",
"Brazil","BRA","GDP (current US$)","NY.GDP.MKTP.CD","15236854859.469","19926293839.0163","23021477292.2093","21211892259.9904","21790035102.382","27062716510.5085","30591834045.3823","33875881906.0553","37458898265.2258","42327600115.9852","49204456711.657","58539008795.7658","79279057736.1044","105136007544.771","123709376566.885","152678020453.114","176171284305.289","200800891871.957","224969488839.356","235024598984.118","263561088975.615","281682304160.256","203304515490.695","209023912696.764","222942790435.318","268137224729.724","294084112392.657","330397381998.489","425595310000","461951782000","407337832905.405","390566551483.761","438299504406.263","546233380259.659","768951297894.977","839682618644.911","871200342859.687","843827363149.355","586862640399.442","644701831101.394","553582178386.192","504221228974.035","552469288267.793","663760341880.342","882185702547.247","1088916819852.94","1366853244424.28","1653538618144.8","1620165226993.77","2143035333258.24","2476652189879.72","2252664120777.39","",
"Barbados","BRB","GDP (current US$)","NY.GDP.MKTP.CD","93216432.3803695","96949756.330522","109083059.168518","108383060.927864","114683045.097089","123608022.665682","137103729.870016","137300000","154400000","181500000","204010328.888222","233383639.978896","284759098.097978","340492903.658634","402158285.756234","435871861.918538","495116619.265309","552876225.283913","670312672.251523","860438453.32038","946949724.873939","989409791.650169","1050464828.03944","1144931025.91334","1198180245.50696","1315567052.9401","1448665027.59519","1540893882.55387","1703922714.56329","2023318164.38209","2007109742.66963","1950900000","2046188943.48556","2151295089.19152","2261969772.41831","2411872813.71606","2549296364.67692","2874459180.62627","3012031888.84215","3119500000","3112350000","3168600000","3271200000","3509700000","3891500000","4314050000","4513250000","4541550000","4592650000","4433700000","4368900000","4224850000","",
"Brunei Darussalam","BRN","GDP (current US$)","NY.GDP.MKTP.CD","","","","","114040245.655299","132758395.400497","139030445.576898","160819286.554292","161211289.690318","179080099.307461","197523179.241883","270818555.823521","433092003.579273","1073577085.64159","1168304305.65513","1423061356.64562","1732721160.94122","1941600703.60598","2803780005.51826","4928824957.9675","4366213849.57637","4264252336.4486","3844723142.45149","3782523088.4628","3523612563.06532","2358592817.12134","2754463437.79677","2690717551.18267","2985467989.54007","3520551724.13793","3701667052.55846","4183548189.07305","4105706151.75145","4087337959.93191","4734020036.68689","5115602836.87943","5197332974.13793","4051147227.53346","4600000000","6001153317.86543","5601090584.36122","5843329101.97699","6557333067.38606","7872333197.25476","9531402829.84859","11470703002.0769","12247627894.6321","14393099068.5859","10732435033.6862","12369708858.9029","16359795685.7116","16953952625.403","",
"Bhutan","BTN","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","135653289.917384","146391643.093012","148934332.000039","165585938.110355","169264987.184926","172217500.789606","201375722.7475","253182456.745234","283855835.889024","275949887.847409","299787274.771613","250045841.039783","250794358.529508","235239569.337404","270801565.190961","303053461.882371","316420860.158369","365964500.196472","376955086.107719","419035810.783235","439158233.475187","476360697.049551","537050133.254524","622026106.84369","702682018.270426","818869145.811526","897672085.755359","1196090841.36845","1257480560.88532","1264686356.65309","1585319109.1083","1833738375.8303","1779561112.28857","",
"Botswana","BWA","GDP (current US$)","NY.GDP.MKTP.CD","32902654.4010581","35644985.2182477","38091777.0677901","41616418.5070928","45788670.6930146","51465624.4090769","58642385.2376744","66248426.9941409","77361532.9935123","96243298.1393835","126954476.930714","165253183.617311","244124115.653176","306044205.922122","355168715.375176","372025093.434102","451624959.61005","590407375.160033","819870595.111537","1060889705.11871","1073812403.80662","1014945860.82549","1172230575.57996","1240821849.27576","1114783538.17406","1392602040.14794","1965227085.13155","2644554881.84186","3083822367.10683","3790636664.02546","3942877353.59054","4146464586.61674","4160129177.1556","4259258810.89328","4730599690.73974","4847757703.86629","5020265168.28901","4790481509.17679","5484263050.39562","5788311645.24919","5489646902.56223","5438856515.10063","7511538764.70587","8957491784.92086","9931223496.1573","10126990487.9848","10939028155.3688","11113042238.1836","10106837286.0116","13746712705.5936","15292424757.1964","14504339385.9436","",
"Sub-Saharan Africa (IFC classification)","CAA","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","GDP (current US$)","NY.GDP.MKTP.CD","123134583.702686","124482774.155572","129379123.792932","142025078.771562","150574795.28224","157930018.375448","163820513.701425","191767441.663587","188039209.876317","189106529.232059","201450800.155415","230317882.787365","271183082.197963","281398705.922214","378660015.774664","451152460.825277","507298148.292476","610578631.218134","700764746.929727","797048197.065069","694803623.872112","748312391.344694","658679332.649258","637820670.572429","864849836.841362","1122265014.86379","1200991976.20365","1264899288.27967","1233930279.03002","1440711459.411","1377374987.52052","1411917554.45482","1278781259.30117","851174357.309582","1115389673.9125","1007791126.56226","937741512.447574","967338390.360019","999477458.730474","914500331.983723","931833293.75345","991387865.044932","1139754771.91102","1270080228.23241","1350300947.46755","1473721520.69935","1698125679.65188","1985370254.96172","1981728179.49882","1986014759.19785","2212696611.84727","2184181390.99191","",
"Canada","CAN","GDP (current US$)","NY.GDP.MKTP.CD","40767969453.696","41978852041.4426","44657169109.224","48882938810.2204","53909570342.169","60358632035.1532","64768831262.1761","70759031841.7237","77887510241.7083","86303952531.3427","97473757179.6395","111034447924.033","128943105689.431","157503067484.663","170685214313.803","202833671399.594","207779031499.765","214672569474.884","238669113880.826","268893260348.957","300668112436.4","307902245278.431","333808828302.499","347140761331.171","355704137678.506","368867218423.893","421530165912.519","498166896887.95","555513513513.514","582722831676.38","598208082395.042","579531728303.136","563664832183.552","564493995313.415","590517341882.833","613761642830.95","637536472627.474","616766430738.119","661264723699.266","724918860682.782","715423553719.008","734661951188.428","865873242452.359","992226099521.914","1133759985475.67","1278610846644.8","1424065729447.91","1502678437546.86","1337577639751.55","1577040082217.76","1777788888888.89","1821424139311.45","",
"East Asia and the Pacific (IFC classification)","CEA","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","GDP (current US$)","NY.GDP.MKTP.CD","10712712465.0522","11879982758.5619","13063643795.7884","14480556571.5476","15346741669.7575","16480058704.8531","17740013179.26","18942729779.1","20524886616.4789","","","","","","","","","","","112531847651.728","103062479965.889","105632100679.703","105256552787.385","100501184695.067","101901431957.592","146075372831.175","182937591991.014","197908057168.728","191081490230.454","244022455456.378","246903857952.58","257022107043.806","249966798830.536","276720695309.644","323971635945.877","312031429538.026","272270373866.189","278904197266.52","273548236722.807","256042925982.354","262647169329.818","286658255888.618","334574926429.049","374224186243.667","384753967478.597","405183914852.772","450528109859.46","524289203562.031","509467163036.925","550638974461.538","657417830723.595","631173029581.956","",
"Channel Islands","CHI","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5945677376.61477","6262740656.85164","6439703434.71024","6232906290.4851","6663669064.7482","7332244897.95918","8553643354.08275","8827272727.27273","9676172953.08188","11514605842.3369","","","","","","",
"Chile","CHL","GDP (current US$)","NY.GDP.MKTP.CD","4705377499.81869","5502763243.33889","5482749434.20374","5794301526.88849","6053790468.24208","7013580346.15593","6913560997.04789","7074820185.61307","8179771225.72187","8981111663.54259","10694569522.0727","11532517864.1275","16387454416.5288","15535549705.8948","7226476865.17312","9857547848.58237","13359145454.4104","15399431309.6652","20729772210.6846","27572307600.4103","32644872979.6923","24339421605.1856","19770402077.0148","19232737055.4021","16486012247.3704","17722536671.3316","20902096531.6075","24640912615.8116","28385038396.7035","31558927517.2188","36424168146.1543","44467946384.2462","47693992626.8649","55154226759.96","71349202308.6423","75769008174.2547","82808986191.6005","79373597080.1017","72995286764.4168","79328640263.7897","72336972322.3931","70984568428.5785","77840186384.8224","100630707851.859","124404150138.162","154671012210.645","173081288190.418","179626662207.089","171956957320.499","217556229881.153","251190792425.367","269869337788.189","",
"China","CHN","GDP (current US$)","NY.GDP.MKTP.CD","50100934915.6492","46464003927.0217","50280424169.1138","58613239132.7057","69709152023.4307","75879433528.3157","72057026115.9338","69993499400.1529","78718820945.8759","91506213646.1258","98562021764.4023","112159815863.885","136769881126.331","142254740054.455","161162497663.83","151627679386.658","172349008332.744","148178859490.823","176634786270.697","189399992473.921","194111112580.308","203183214981.86","228455947879.686","257432147241.187","306666660698.093","297831879941.527","270372194996.888","309522625241.62","343973680226.249","356936901183.933","379468656246.252","422660918111.414","440500898964.599","559224707280.731","728007199936.412","856084729312.253","952652693079.137","1019458585326.15","1083277930359.88","1198474934198.78","1324806914358.35","1453827554714.01","1640958732775.07","1931644331142.47","2256902590825.33","2712950886698.27","3494055944791.32","4521827288303.98","4991256406734.99","5930529470799.17","7321935025069.66","8227102629831.48","",
